Charlie.	0
He promised to pursue it vigorously.	5
Well, I feel like a snack!	1
Uh we didn't, uh we didn't get the chance to talk.	0
Breathe gently Through the nose.	0
The captain left a sinking ship.	5
Not the gondola, not the gondola.	5
This is absurd.	2
Good night. Good night.	0
I haven't seen you for days.	2
And I will make everyone call me Mrs. Geller!	1
Do you know who decided to replace Harold Greer and bring you on this case?	0
Hi!	1
Oh yeah-yeah, the lobster.	0
Take that Shaheed.	0
Well, there's a kiss that he won't forget for a couple of hours, y'know.	1
Ok, so now we need, um sage branches and the sacramental wine.	0
Tasty! I'm really starting to feel like you guys have a history, it's-it's nice.	1
Can you believe that?!	2
Yeah baby!	1
Because uh...we-we...we split up. Monica and I split up. Hold me.	3
Whaddya think? Today's the big day!	1
Skyhook.	0
Why would she come here at all?	4
This is very big, you talk only to me.	2
Yeah, we look great together.	1
You can do it!	1
Hey, it's my list.	4
Even so, quite wrong to threaten. Not the way to treat an enlisted man.	3
What is the purpose of travel Count?	0
I smell blood.	5
No way!	2
What do you mean you didn't see?	4
No, I'm getting back down 'cause she lives in Poughkeepsie.	0
And, a brownie!	1
If we keep our stern to the wind, we'll roll over.	5
Good.	4
You know I've been in situations where like I've been shot at. You realize that right?	0
Shoot him!	4
Oh, Hi, Ju... ... Hi, Jew!	0
Oh, he's hurt!	5
No I don't.	0
Thanks.	0
Thank you, I need that.	1
They want to fight and die as martyrs.	3
Hi!	1
I hate this river.	4
Well, I'm just... if the paste matches the pants, you can make yourself a pair of paste pants and she won't know the difference!	4
Come on man.	0
You sound like a woman with a mission. I am.	2
You don't play the oboe!	4
Okay. 1...2...3... Go!   I'm gonna kill myself!	0
Put Joey on the phone.	0
What happened to your coat?	2
Why do they keep doing that?	0
Get out of here Bravano.	0
What the hell does that mean?	4
I'm really glad we came.  You're so pretty. I love you.	1
Kay.	0
Oh, is this the breathtaking view?	1
You're into justice. This argument should appeal to you.	0
Y'know?	0
But we should take it.	0
See Joe, that's why your parents told you not to jump on the bed.	0
It was Father's Day... the last time I heard from her.	3
Shouldn't we be going?	4
Maybe!  Well! Well...so-so uh, what kind of music does Numb Nuts... Oh forget it! I can't!	4
No! No! No!	5
And now if... When we get a cab we can complete the plan and live out our lives with a modicum of dignity.	1
Ohh, y'know I-I heard about what happened, that must have been just terrible for you, losing your mother that way.	3
Yeah well that's because uh...I stayed in my room. Yeah, you don't want to look in my hamper.	0
Oh excuse me officer. Would you like to see my l.D.?	0
Trois...	0
Fuck you, Harper.	4
Dime.	0
There's a face beneath this face. - No!	5
I don't want any more of it.	4
Now, with such simplicity... Such clarity, everything falls into place.	3
Oh, do you need a hug? You don't have to bring me anything!	1
These people'll scooch down.	0
Read it and we'll talk.	0
Anyway, look, I don't know about you and your jackets and your separate tables, but Ross is one of my best friends, and if I save him a seat, I'm telling you, he	0
Glasses?	0
Yeah! And I got it on sale, too.	1
The fairy tale again.	4
Man you got tachometers for eyes. I was talking about the babe.	0
Suzanne.	0
We're not throwing it away! I built that canoe!	4
No.	0
There were two other passengers in the car a man and a woman.	0
Would you like to make a statement?	0
The absence of a plan is ridiculous.	4
We may need it.	0
IN LONDON!!!	2
Come on it's you.	0
Mrs Samuel has fixed the grandest dinner.	1
What's going on?	5
You've put us all in danger for your love of this woman.	4
Y'know, I wish I could get him to open up a little bit, share some feelings.	3
Of course.	4
Boy, you amaze me.	2
Well, at the Christmas party him and Santa did some definitely    gay stuff!	0
I mean, after my exorcism, I - I've strived to lead A good, clean, decent life.	5
No-no that's a man's shirt.	0
Very nice show, London.	1
Oh, boy.	5
What do you mean, you're downstairs, you idiot?	4
Oh yeah, I'm sure.  And all of a sudden his hands weren't the problem anymore.	0
Haven't seen you for a while.	2
I don't feel so good.	3
Ohh. And I don't even have a date.	3
What?!	2
Well anyway...	0
Yeah.	0
I'll risk it.	1
Watch yourself. Kuwaiti Star, stand by. We're coming in on your port side.	5
Run away now or I'll kick you.	4
I love a persistent wall.	1
I guess so.	0
Hey-hey, Pheebs, check it out, we already learned a song.  Ready? One, two, three, four...	0
How did he die?	0
Does this mean you don't like me anymore?	3
The town is perfectly all right.	1
It is a crime that you and I don't spend more time together.	0
You had a rough day, huh.. c'mere.	3
Now, that was probably a mistake because now you're in danger anyway.	5
No. You?	0
Where do you get those wonderful toys?	1
You gave me your word.	5
I'm gonna fuck you up.	4
Felix, could I have a word with you?	5
I love RedWing.	1
Every weekend.	0
What are you still doing here? She just broke up with the guy, it's time for you to swoop in!	2
Joey, we	0
You're gonna die.	4
I'm going,  and I'm gone.	0
Ramon.	0
I know.	0
I really missed you.	3
You meet somebody and you only got one night to really get to know them.	3
They can't all be bad.  Find the one where you make your bedroom eyes. Ohh, there it is.	1
Are you confessing to this?	4
It's right over there.	0
And you wouldn't want to endanger Mr. Godwin, would you?	4
Because you know how competitive you get and well, I say it's cute, others disagree, and I'm lying!	0
I'm sorry.	3
I think I was shot.	0
Say we are unagi!	1
Part of the family now.	1
He who wears the ring...  Help!	1
And I want you.	1
I mean it's like every guy I see... I mean look here.	0
Okay I have to study Returns and Exchanges.	0
Why?	4
This is a private conversation.	4
Well, that's easy.	1
Good.	1
We're gonna come out dead!	5
I'm gonna speak to your ma!	4
It was the nearest thing to heaven.	1
They're from the guy who pumped my stomach. Bullshit.	4
I was scared shitless they'd think I was still alive.	5
All right. All right.	0
Monica you really think I should try this phasing out thing?	0
Yeah, I um, I just... just thought I saw something, but I can't really, um, trust my eyes these days.	2
Well, the biggest news is still you dumping Barry at the altar!	0
Well that's it for another day.	0
Come on, wussies!	4
What, are you smuggling furs or something?	2
Well, no wonder you're worn out.	3
Here, faster, before the planes are back.	5
Whistling Pines. My costume's like the one you wore in That Marvellous Mrs. Markham.	0
You better look out, Mr. Ann.	5
And the musicians, look, they can go over here , okay? And the chairs can face this way , and...  You go.	0
Yes, you may think that we're distracted, but don't fool yourself.	4
Get out of here you lurker!  Go on! Get!	4
It's as good a time as any.	0
Eh!	0
Yeah.	1
What?!	2
To lose.	0
There's a man down there on his head.	5
Sir Commander Eddington has arrived.	0
One way to pleasure.	1
Which you just gave up really quickly.	0
Yeah, Rach, I think you're handling that really well.	0
I guess so.	0
How'd you boys know where to find me?	2
Hey, Crystal, I want to show you this. Now, what's gonna happen here...	4
If you soltis... I will kill you.	4
I'm the nice one!	2
I'm pleased to be wrong.	1
Say no more.	0
...and all the stories in the world.	0
Yeah. You want to come over?	0
Hey, look, since we're neighbors and all, what do you say we uh, get together for a drink?	0
I didn't recognize you standing up.	2
I wash the toilet 17 times a day.	4
Now, if Case doesn't kill us, the Triads will.	4
"Yeah but after you said it was okay, I figured, ""Why not?!"""	1
You might want to think about coming clean.	0
What?	2
Pater hates caffeine.	4
Come on Congressman.	0
I'll take sports.	0
How'd you get in there?	2
I don't need you falling apart on me.	3
I should explain something to you Governor.	0
Hey!	2
Look!	4
: Toby... Oh, for God's sake, I don't know what she's talking about!	2
You just think that over.	0
Haggai hang it up.	4
Better now... Very sudden.	0
Well, for god's sake, it's my account.	4
We could be like the Patch Sisters!	1
Phoebe, what's the matter?	0
The Sovs are just waiting for Barley to give it to them.	0
We were walking by this antique store, and I saw this pin in the window, and I told him that it was just like one my grandmother had when I was a little girl.	3
Joe Stalin. Y'know, that's pretty good.	1
Oh my god.	0
And I'm warning you.	4
How can I help you?	0
Why? Drugs. People do drugs.	0
Sperm.	0
I was so alone, and suddenly you were there.	3
Hey.	0
You one of them rare youths, yeah?	2
Okay I-I just have to stop by my place first.	0
I want you to check.	0
That's where we must attack.	4
When the shooting starts, don't forget to duck.	5
What's really bothering you?	0
Maybe she even killed my partner, Ted.	4
I'm sorry, I thought I could do it and I can't!	3
Then why did you confess?	0
Lucy, I'm getting a bit jumpy, to be honest.	5
Y'know, breadstick fangs are always funny.	1
Y'know those are a delicacy in India.	0
She said she was gonna stop but she would have a rule that she'd only smoke when we listened to this one band we both loved.	0
You want a baby - sitter?	2
If this is your idea of sexy talk?	2
I've had the time for it you know since the 25th of October 1942 to be exact.	0
Yes! That I know, this is from White Plains.	1
Please, Anthony.	3
Undercover!	0
Can I be that guy?	1
She never cared about me!	4
If we had known, we would have greeted you with flowers.	3
That ain't gonna last forever.	5
Hey, y'know I was thinking, what are the odds like if-if, if you stuff like 200 of them in there?	0
Wanda get holtz Kim and Hartwell into my office at 3:00 this afternoon.	0
Nobody's gonna make me do that!	4
Get down get down!	0
It's been over a week you've been gone.	2
A depressing characteristic.	3
Okay, let's go!	1
And we've got her.	1
That'll be all Smitty.	0
You're a month early for the book fair.	2
Don't touch him, he's hot!	2
Okay anybody else need a receipt?	0
Well..	0
Stud poker.	0
Look at all the smiling faces.	1
What's going on? We need to talk. That's all.	4
So honey, this morning was fun, huh? Me hopping in on you in the shower there.	1
I won't let it happen.	4
And I said	0
But only in the moment. So do ya wanna kiss again?	1
She covered the Mideast for the networks for five years. She's a reporter. She's not gonna give us anything.	0
Where did he go?	2
Some money?	0
Maybe she can give me a pill or something.	0
She thinks I still am. She never wants to see me again.	0
Impossible!	2
I heard it from my friend Irene who heard it from some guy!	0
Well, I don't know!!	2
I'm scared.	5
I've been waiting for this for months!	1
Ok, given your situation, the options with the greatest chances for success would be surrogacy, or insemination using a sperm donor.	0
Um it's a big deal.	0
Onions, nice to meet you.	1
Uh, how is he at handling small objects?	0
What you have to ask is whether you will be able to resist him.	5
Thank you. Good-bye.	0
Where are you going? - I have a date.	1
Are you mocking me?	4
I'm Mike Brennan.	0
Nah I just stick to weed now.	0
Bad guy.	3
Give him money? It was a joke!	2
Sergeant we were...	0
I guess that's why the old man gave it to you!	2
We can't cover for him, Alfred.	3
People with money like uniforms.	4
Helloooo? Yeah. Oh my God. Thanks.	1
Alright, alright, alright.	0
Of course he is!	0
Oh my God!	2
I appreciate that, sir.	1
Just one?	2
That's a sign you must be pretty happy.	1
It's Lafite. The '74 Latour is actually drinking quite nicely.	3
We'll be out in a hurry. But could we use a little of your water?	0
Yeah, he's alive and well and living in Hickory.	1
Fine!  But please God.. tell me how to stop them from going off!	4
Oh man!	0
Handling it?	0
Read what the critics say... wonderful!	1
Hi! Okay, don't be mad at me, but I couldn't resist.	0
Wait till somebody gets killed?	2
Oh my God!	2
It'd take forever to pry this up.	1
No! Sorry, I just thought you were somebody else. Hi!	2
Thanks.	0
Oh, so you just sort of happened to leave it in here?	4
What are you doing? You can't come here. - Listen, Mark.	4
He had no idea what was going to happen.	0
You're dead, you sons of bitches.	4
I might not be around for much longer.	3
Uh actually, I sent the flowers before the actual date. So technically,	4
They're hollow and empty.	3
There's no way to do this without her?	2
No, hey, well, I-I completely understand. You were, you were stressed.	0
Are my glasses there? Eh... no.	4
There. You see? Someone else who knows that it's wrong.	5
Hmm. Do you sleep with women and never call them again?	0
The temperature in that day it was of 27 degrees to the shadow.	0
We're lucky not to be home during the bad weather, aren't we?	1
I don't like to.	3
And you can leave the hurt bunny look over there too!	4
He promised you parts in Cats?	2
Remember how white and fluffy she used to be after I gave her a bath?	1
Then, uh, then we got dressed, and I-I... I walked her to the-  -the bus stop... I'm fine.	0
