I'm so relieved.	1
Either you take care of yourself or I, too, shall resign.	4
Can't you go in there and say something?	4
Watch out, you idiot!	2
I've been sleeping with women.	1
She said I stabbed that son of a bitch plenty of times.	4
But what I tell Burne-Jones to do, she will do.	4
They've all left their tire tracks on the desert roads.	2
You and Harvey make two nice goddesses.	1
He's nice.	1
Like a million Fourth of Julys all rolled into one.	1
Are you sitting down?	5
You drew the Brennan-Vasquez case huh?	0
Don't you recognize me?	2
De Quincey, I don't think it'd be so bad if I taught him how to throw a few...	4
I hope that while we're waiting, another disaster doesn't occur.	5
I was brought up with beautiful words.	1
What do you think we ought to do that's fitting and proper?	4
I want my money. I want to get out of here.	5
That was stupid and cruel.	3
I wonder if I'll ever get the knack of it.	3
It's for plugging up bullet holes.	0
When we first went there, Spenser, he could barely speak.	3
It's incredible stupidity...	3
So that's what you came to see me about?	2
He said he'd carve up the troublemakers first.	0
You say you're sorry and we'll let you go.	4
We give no quarter to those that are disloyal.	4
You want to hurt me? You already did.	4
All right, you take care.	1
Mouth?	0
It's Freeman! Connie from El Paso.	2
You got a line on Montalvo and his corn-hole buddy Jose?	0
On a visit to the little town of Bethlehem A young Shepherd came upon Jesus	0
Mccarthy killed Ellis?	2
They're lovely.	1
But I can't play them with you.	3
Two men believed responsible for the attack were captured.	2
Go! Out of here!	3
You hate guys like me, don't you?	3
They bought 'em fixed them up. I paid attention.	0
They'll never survive without their mother. Well.	4
He might win a few fights, but a Rocky Balboa he'll never be.	4
Martin James detective sergeant Benti.	0
Mark. - What's up?	0
Of course I don't mind goin' with my pockets full.	0
Your car.	0
My wife, poor girl.	3
It's one of the most tiresome cliches of storytelling.	0
Didn't the formula cure his rheumatism?	2
There was a trombone player.	0
It is killed man.	0
Do come in.	0
Get Off!	4
Everything NSA has on Russian-Palestinian relations.	0
Okay I have to study Returns and Exchanges.	0
6400 pounds.	0
I have to spend half my life waiting for these time clocks to open.	3
If she was young and beautiful, I forgive you.	3
I'm not ready to retire yet.	3
Well, I didn't have the money.	3
I didn't know you were still here.	2
Well, now, there's a lovable chap.	1
He said he's taking the day off.	0
If you have a charge to make make it. Come on. We haven't got all night.	0
Which they call the leash.	0
It is his nature.	0
I got it all planned.	1
If we could be like this forever it would be great	3
They have a craving for human flesh.	5
Deuce.	0
I can't take any more of this.	5
Liesl.	0
I guess Gregory was about the prettiest, with all that long, yellow hair.	1
Damn you!	4
She told me to my face.	0
I've got some good wine.	1
It's good you no understand my mother. It's liar.	3
We're all gonna die.	3
You won't be needing this anymore and I think your boyfriend's had his gut full of races!	4
You were winning?	2
Nothing's going wrong.	1
But you had to wait till now, now when George's dying... to show me that I could never mean any more to you... than this Watling woman does to O'Connor.	3
What is your name?	0
Please, we need help!	5
I've got a piece to speak and blow hot or cold, I'm gonna speak it!	4
You give me no choice but to ground you.	5
Junior!	1
Kids, the wienies are almost done!	1
Don't push me too far, Gunter.	4
It does feel better to get it out.	1
Jesus christ, man.	2
Gentlemen I'll see y'all later.	0
Bring her in later.	5
Deal me out.	0
I must find a place to get out of this downpour!	4
You know too much.	2
They didn't shut me up, you did.	4
That is hardly for you to decide.	4
Look. I've been kicking ass and taking names, trying to save your fucking hide.	4
Here I'm giving you $25.	0
Yeah she told me.	0
Right sir. I'll check all decks below.	0
Billy go!	0
Nearer 40 or 50000 I'd say.	0
Telephone.	0
My bet says no other rider in the race will beat mine.	1
And this is something that is at the biggest change economically in the history of the human race.	0
And given your background I'm sure you can figure it out.	0
Uh I uh... I got to go now ok?	0
I knew there'd be a catch to this.	2
You must never do anything like that again, ever.	4
You shut up!	4
Mommy shoulda ' taught you to knock.	4
They're rescuing their kids taking to the streets.	0
What the fuck you doing?	4
She's got a great body.	1
Do you have me now?	0
