Why do you want to shut me out in the cold like this?	3
Poor boy.	3
Did you ever get my flowers?	3
What are we working out?	1
I'll tell my mother!	4
What if the police find you here?	5
Well then we'll search the hut. That's what we'll do.	0
It's kind of the hardest part of all these 'cause he doesn't -- He don't know why we're here.	5
In a roundabout way.	0
He thinks it's a wonderful evening and then she takes a handful of pills and overdoses.	4
Amelia, the lawsuit's dead. We don't have a plaintiff.	5
There's Dillon and Herty going out to yet another birthday party with their new son!	1
Terror tactics, man.	4
Lompoc's a big pen right?	0
You ?	0
Christ!	2
I bet she's nice.	1
God, forgive me.	3
Stay back!	4
So maybe if I screw you and take you to the opera, then I can be happy. Hey!	1
I get it man.	0
Do me a favor will ya, thank your mother for me?	1
What if I just lean back like this? Would you rescue me if I fell?	3
My officers will not do manual labour.	4
Oh, shit!	5
He's a prick.	4
Nice meeting you. - Very nice meeting you. See you.	1
You didn't think I was dead, too, did you? Bulwer.	4
Oh, well, that's a splendid idea, Mrs. Harte.	1
I want to be a good dad.	1
At the moment, you have an excellent chance of being hanged.	2
It was our last evening together.	3
Why have you been carrying the bags with you all the time?	2
Wan na apologize for the other night.	3
How you helped steal an election.	4
A child because it was small.	0
Upstairs to the right. - OK.	0
Ramos we're clear? Clear.	0
Elder, let's go in Elder! Thrust out our chests	1
Wonderful!	1
Freeing you up to play the victim.	0
The most horrible thing was, you'd smile when you were mad.	3
This is Chip.	0
In Altoona... I need a man able to impress them.	4
And you're remembered not for the winning, but because you never lost.	1
Assholes trying to round them up and put them in the back of trucks.	4
You better carry that around with you all the time.	4
Stop mumbling.	4
Yeah, perfect!	1
A little poontang might ease your mind a bit.	3
Six months?	4
Okay let's go back to the town.	0
She looks French sure.	0
Maltz would've fought back.	3
Get up!	4
Thirteen dead in what appears to be a Nuke money massacre.	5
We've always embraced the very things for which others have burned you at the stake.	5
Why aren't you working?	4
At 11...	0
What are you smilin' at?	4
What's this doin' in your ear?	2
A guy who was a pain in the neck even before I carried his stuff.	4
Black Life Magazine?	0
I have no intention of drowning with you.	4
Fantasia will be forgotten.	3
So a rose is not a rose and an umbrella has nothing to do with rain.	0
And I said	0
Nine to the sevens.	0
Three F4Fs proceeding north-east to south-west.	0
Old army place.	0
'Alessandro.	0
I can't.	2
Put your heads down. Put your fucking heads down!	5
All that gossip!	2
Majesty!	0
I do not know like Mary Cavendish it manages to be there.	0
What's all this for?	2
This is Princeton.	0
Hey, this is pretty nice, being served in my own home.	1
She plans her suicide.	5
The young open their eyes in two weeks and they become sexually active in two months.	0
Cooper give me the nails over there!	0
As it is he left it in my hands.	0
You know, you - you could get hurt. You shouldn't go around robbing people. You could go to jail.	4
Blake!	1
Elder...	4
I don't want to complain, but there's an institution called dinner.	4
I took it down to Dickerman.	0
Light has conquered darkness.	1
How did eggs get into the conversation?	2
But it soon became obvious that the senor was only mildly interested in the available talent.	3
I'm happy to get out of this madhouse.	1
And I just hope that uh it's not like Independence Day.	0
You're going to love International Cafe Society.	1
Possibly the Lady Inglethorp it returned early and interrupted it.	0
Happier than we've ever been, yes.	1
Comes up smelling ' like a rose every time.	1
Sounds good.	1
Nobody hired us for our brotherly love, Wollaston.	1
You've made it.	0
She can't know we're nuns! Why not? What if Bloor and Daniel find her?	5
You thirsty, son? - No.	4
You're gonna be a father.	1
Hi.	1
That's the unholy pity of it.	3
Come on! - Jerome!	4
Did I do something wrong?	5
What am I doing here, Lucas?	2
You do it again, and you lose a limb.	4
Oh, I just don't think I'm gonna have the time for it.	3
Dryden, you're a wonderful egg.	1
I once went without food for 147, days.	3
Torlatos Favrinis and Torlato-Favrinis.	0
You realize your contacting the saucer violated our instructions.	4
One of these days, when I get my boat built I'm gonna drift out of this damn territory.	4
That would be nice.	1
What's the matter?	3
I do not like Mr. Noah.	4
I think I'll just head back to the hotel and order some room service.	0
I think maybe she did Nick.	0
They tried to protect us from the world because we were different.	1
Hi Lieutenant.	0
Okay after I testify.	0
Denton is nice in the spring.	1
Those were the last words she heard me say.	3
I want to introduce somebody.	0
Sir are we just looking for subs or planes too?	0
Kane!	0
This is no time to play in the snow.	4
How can I help you?	1
C'mon Reade, hurry!	4
Yeah, I um, I just... just thought I saw something, but I can't really, um, trust my eyes these days.	3
Verify that final telemetry check.	0
Everyone wanted to do the oral argument, that's always kind of the cherry on top of the ice cream there.	1
Does it buy the product for them?	0
I would call... revenge.	4
But he kept it to himself. He kept a lot to himself.	3
I was in from '93 to '97.	0
Polly's dead.	3
They got ta know Tomlinson's gonna pull out their livers.	3
Perhaps that's why you...	0
The guy was just talkin' about gettin' a shot.	5
Look, I'm sorry to drop by unannounced.	3
Let's get you one.	0
